"latitude","longitude","room_type","price","guests_included","minimum_nights","review_scores_rating","cancellation_policy","host_is_superhost","number_of_reviews","number_of_reviews_ltm","bathrooms","bedrooms","beds","bed_type","has_reviews"
30.2717,-97.71704,"Private room",65,1,2,98,"strict_14_with_grace_period","t",66,13,1,1,1,"Real Bed",TRUE
30.25309,-97.77375,"Entire home/apt",350,1,3,99,"strict_14_with_grace_period","f",30,25,2,2,2,"Real Bed",TRUE
30.28281,-97.76417,"Entire home/apt",399,10,2,94,"strict_14_with_grace_period","t",38,8,3,6,17,"Real Bed",TRUE
30.28091,-97.70809,"Entire home/apt",350,1,2,97,"moderate","t",31,11,2.5,3,3,"Real Bed",TRUE
30.25864,-97.75981,"Entire home/apt",222,4,1,96,"strict_14_with_grace_period","t",161,16,1,2,3,"Real Bed",TRUE
30.23223,-97.74579,"Entire home/apt",154,6,2,96,"strict_14_with_grace_period","t",215,33,3,4,5,"Real Bed",TRUE
30.25721,-97.75563,"Entire home/apt",124,2,2,97,"flexible","t",300,44,1,1,3,"Real Bed",TRUE
30.41396,-97.75983,"Private room",79,1,1,100,"flexible","f",1,0,1.5,1,1,"Real Bed",TRUE
30.20948,-97.76969,"Entire home/apt",65,2,3,96,"moderate","t",102,14,1,1,2,"Real Bed",TRUE
30.23225,-97.76552,"Entire home/apt",125,2,2,96,"flexible","f",18,2,1,1,1,"Real Bed",TRUE
30.25191,-97.78116,"Private room",225,2,2,100,"strict_14_with_grace_period","f",22,0,1,1,1,"Real Bed",TRUE
30.25431,-97.75578,"Entire home/apt",400,3,3,98,"strict_14_with_grace_period","f",9,0,1,2,2,"Real Bed",TRUE
30.41469,-97.76042,"Private room",79,1,1,96.176,"flexible","f",1,0,1,1,1,"Real Bed",FALSE
30.2648,-97.73428,"Entire home/apt",200,5,2,98,"strict_14_with_grace_period","t",201,29,3.5,3,10,"Real Bed",TRUE
30.28413,-97.64927,"Entire home/apt",230,6,2,95,"moderate","t",41,19,2.5,3,3,"Real Bed",TRUE
30.27752,-97.71919,"Entire home/apt",95,2,1,97,"strict_14_with_grace_period","t",387,54,1,1,1,"Real Bed",TRUE
30.2509,-97.78843,"Entire home/apt",500,8,1,100,"moderate","f",13,0,2,3,5,"Real Bed",TRUE
30.24391,-97.77203,"Entire home/apt",475,4,3,100,"moderate","f",9,0,2,4,3,"Real Bed",TRUE
30.26833,-97.71708,"Entire home/apt",240,4,7,96,"strict_14_with_grace_period","f",47,0,2,3,5,"Real Bed",TRUE
30.26778,-97.74563,"Entire home/apt",149,4,1,97,"strict_14_with_grace_period","t",355,85,1,2,2,"Real Bed",TRUE
30.24588,-97.75122,"Entire home/apt",95,2,1,86,"strict_14_with_grace_period","f",180,9,1,1,1,"Real Bed",TRUE
30.26052,-97.71214,"Entire home/apt",375,1,3,93,"strict_14_with_grace_period","f",9,1,1,2,2,"Real Bed",TRUE
30.31218,-97.71745,"Entire home/apt",150,2,2,100,"moderate","f",2,0,1,1,2,"Real Bed",TRUE
30.33354,-97.73222,"Private room",47,1,2,98,"moderate","f",86,4,1,1,1,"Real Bed",TRUE
30.3024,-97.80719,"Entire home/apt",495,4,3,100,"strict_14_with_grace_period","f",6,0,2,3,3,"Real Bed",TRUE
30.27235,-97.72514,"Private room",75,2,2,97,"moderate","t",429,24,1,1,1,"Real Bed",TRUE
30.45096,-97.76467,"Entire home/apt",130,4,5,98,"flexible","f",12,0,1.5,2,2,"Real Bed",TRUE
30.23911,-97.58625,"Private room",100,1,2,96.176,"strict_14_with_grace_period","f",0,0,1,1,1,"Real Bed",FALSE
30.36875,-97.65554,"Private room",109,3,1,96.176,"strict_14_with_grace_period","f",0,0,2,1,1,"Real Bed",FALSE
30.31293,-97.76659,"Entire home/apt",450,6,3,96,"strict_14_with_grace_period","t",106,26,3,5,6,"Real Bed",TRUE
30.23193,-97.74121,"Entire home/apt",175,1,6,93,"strict_14_with_grace_period","f",3,0,2,3,3,"Real Bed",TRUE
30.25333,-97.7523,"Private room",99,1,1,98,"strict_14_with_grace_period","t",142,31,2.5,1,1,"Real Bed",TRUE
30.25304,-97.75301,"Private room",99,1,1,98,"strict_14_with_grace_period","t",103,23,2.5,1,1,"Real Bed",TRUE
30.27508,-97.72995,"Private room",65,1,1,96,"moderate","t",135,34,1,1,1,"Real Bed",TRUE
30.2407,-97.77525,"Entire home/apt",275,3,5,100,"strict_14_with_grace_period","f",6,1,1.5,2,2,"Real Bed",TRUE
30.24468,-97.72442,"Entire home/apt",250,1,1,100,"moderate","f",2,0,1,2,2,"Real Bed",TRUE
30.24035,-97.73334,"Entire home/apt",190,3,2,91,"strict_14_with_grace_period","f",32,0,2,2,3,"Real Bed",TRUE
30.256,-97.72595,"Entire home/apt",200,4,2,97,"strict_14_with_grace_period","t",158,36,1.5,3,3,"Real Bed",TRUE
30.26795,-97.71195,"Private room",115,2,1,92,"strict_14_with_grace_period","f",15,0,1,1,2,"Real Bed",TRUE
30.36645,-97.73333,"Private room",75,1,2,100,"flexible","f",3,0,1,1,1,"Real Bed",TRUE
30.25866,-97.68761,"Private room",100,2,2,100,"moderate","f",2,0,1.5,1,1,"Futon",TRUE
30.27374,-97.71887,"Private room",67,1,2,98,"moderate","t",59,11,1,1,1,"Real Bed",TRUE
30.261,-97.79197,"Entire home/apt",400,1,4,96.176,"strict_14_with_grace_period","f",0,0,1.5,1,1,"Real Bed",FALSE
30.2628,-97.72499,"Entire home/apt",222,2,7,95,"strict_14_with_grace_period","f",5,0,1,1,2,"Real Bed",TRUE
30.25264,-97.87296,"Entire home/apt",300,1,3,96.176,"flexible","f",0,0,1,1,1,"Real Bed",FALSE
30.24754,-97.75855,"Private room",120,1,2,100,"strict_14_with_grace_period","t",62,12,1,1,1,"Real Bed",TRUE
30.21698,-97.77233,"Entire home/apt",250,3,2,95,"strict_14_with_grace_period","f",4,1,2,2,2,"Real Bed",TRUE
30.20962,-97.77531,"Entire home/apt",240,6,2,96,"strict_14_with_grace_period","f",30,30,2,3,5,"Real Bed",TRUE
30.2537,-97.73116,"Entire home/apt",450,4,3,100,"strict_14_with_grace_period","f",7,1,2,3,5,"Real Bed",TRUE
30.25185,-97.73104,"Entire home/apt",135,1,2,98,"strict_14_with_grace_period","t",261,45,1,1,1,"Real Bed",TRUE
30.20633,-97.79218,"Entire home/apt",120,2,2,96,"flexible","f",31,0,1,2,1,"Real Bed",TRUE
30.26912,-97.68767,"Entire home/apt",79,4,1,98,"strict_14_with_grace_period","t",222,48,1,1,1,"Real Bed",TRUE
30.25035,-97.75722,"Entire home/apt",370,4,3,98,"strict_14_with_grace_period","f",34,7,2,2,2,"Real Bed",TRUE
30.27105,-97.74933,"Entire home/apt",299,4,3,86,"strict_14_with_grace_period","t",7,1,1,2,3,"Real Bed",TRUE
30.24547,-97.74739,"Entire home/apt",295,1,2,99,"strict_14_with_grace_period","t",39,28,2,3,3,"Real Bed",TRUE
30.24836,-97.76186,"Entire home/apt",165,2,2,98,"strict_14_with_grace_period","t",167,34,1,2,4,"Real Bed",TRUE
30.27434,-97.75466,"Entire home/apt",302,6,3,80,"strict_14_with_grace_period","f",1,0,2,3,3,"Real Bed",TRUE
30.28226,-97.76035,"Entire home/apt",156,1,5,100,"moderate","f",3,0,2,2,2,"Real Bed",TRUE
30.26487,-97.71649,"Entire home/apt",125,3,2,99,"strict_14_with_grace_period","f",16,4,1,2,3,"Real Bed",TRUE
30.23618,-97.74439,"Entire home/apt",430,7,1,100,"moderate","t",28,7,2.5,3,3,"Real Bed",TRUE
30.26659,-97.73298,"Entire home/apt",149,4,3,99,"strict_14_with_grace_period","t",418,73,2,2,2,"Real Bed",TRUE
30.30232,-97.72633,"Entire home/apt",119,2,2,96,"strict_14_with_grace_period","f",196,0,1,2,2,"Real Bed",TRUE
30.26992,-97.73093,"Entire home/apt",125,6,2,96,"strict_14_with_grace_period","t",55,20,1.5,2,2,"Real Bed",TRUE
30.21614,-97.88687,"Private room",125,4,1,96.176,"moderate","f",0,0,1,1,1,"Real Bed",FALSE
30.27875,-97.72359,"Entire home/apt",125,2,1,97,"strict_14_with_grace_period","t",483,114,1,1,2,"Real Bed",TRUE
30.29933,-97.77637,"Private room",59,1,1,92,"moderate","t",42,6,1,1,1,"Real Bed",TRUE
30.33179,-97.64911,"Private room",75,1,1,96.176,"moderate","f",0,0,1,1,1,"Real Bed",FALSE
30.24782,-97.76294,"Entire home/apt",125,2,2,98,"strict_14_with_grace_period","t",260,38,1,1,2,"Real Bed",TRUE
30.24515,-97.77143,"Entire home/apt",300,1,3,100,"moderate","f",1,0,2.5,2,2,"Real Bed",TRUE
30.28923,-97.7606,"Entire home/apt",248,4,3,100,"strict_14_with_grace_period","f",11,0,2,2,2,"Real Bed",TRUE
30.23928,-97.77907,"Entire home/apt",100,1,1,96.176,"moderate","f",0,0,1,1,1,"Real Bed",FALSE
30.27927,-97.75422,"Entire home/apt",119,1,2,96,"strict_14_with_grace_period","f",12,5,1,1,1,"Real Bed",TRUE
30.30599,-97.69641,"Entire home/apt",325,1,2,100,"moderate","f",1,0,2,3,3,"Real Bed",TRUE
30.25176,-97.7227,"Private room",75,1,1,100,"moderate","f",85,26,1.5,1,1,"Real Bed",TRUE
30.24981,-97.77782,"Entire home/apt",495,4,2,90,"strict_14_with_grace_period","f",3,0,3,3,4,"Real Bed",TRUE
30.2552,-97.76862,"Entire home/apt",135,2,3,99,"moderate","t",201,52,1,2,2,"Real Bed",TRUE
30.31062,-97.7184,"Private room",100,1,1,99,"flexible","t",171,35,1,1,1,"Real Bed",TRUE
30.27913,-97.71576,"Private room",49,2,1,98,"strict_14_with_grace_period","t",106,46,1,1,1,"Real Bed",TRUE
30.29172,-97.83906,"Entire home/apt",500,8,2,100,"moderate","f",1,1,5.5,5,7,"Real Bed",TRUE
30.33765,-97.72982,"Entire home/apt",200,1,1,90,"moderate","f",2,0,1,1,1,"Real Bed",TRUE
30.26059,-97.77649,"Entire home/apt",375,2,2,100,"moderate","f",6,0,1,2,3,"Real Bed",TRUE
30.25759,-97.71779,"Entire home/apt",110,1,2,99,"flexible","t",44,21,1,1,3,"Real Bed",TRUE
30.27155,-97.68703,"Entire home/apt",300,1,1,97,"moderate","t",121,34,2,3,3,"Real Bed",TRUE
30.22304,-97.71811,"Entire home/apt",87,1,2,97,"strict_14_with_grace_period","t",36,13,1,1,1,"Real Bed",TRUE
30.2532,-97.72391,"Entire home/apt",500,1,2,97,"strict_14_with_grace_period","f",140,64,4,4,10,"Real Bed",TRUE
30.25456,-97.77665,"Entire home/apt",69,2,2,96,"moderate","t",208,40,1,1,2,"Real Bed",TRUE
30.27407,-97.75345,"Entire home/apt",200,1,3,94,"flexible","f",13,1,1,1,2,"Real Bed",TRUE
30.39409,-97.91907,"Private room",210,1,2,100,"moderate","f",1,0,1,1,1,"Real Bed",TRUE
30.2584,-97.76881,"Entire home/apt",295,6,4,97,"strict_14_with_grace_period","t",72,19,2.5,3,4,"Real Bed",TRUE
30.26002,-97.73317,"Entire home/apt",258,4,1,95,"strict_14_with_grace_period","f",66,7,2.5,3,6,"Real Bed",TRUE
30.28553,-97.72017,"Entire home/apt",85,2,4,97,"strict_14_with_grace_period","t",35,0,1,0,2,"Couch",TRUE
30.26636,-97.70848,"Entire home/apt",207,1,1,91,"strict_14_with_grace_period","f",7,0,1.5,2,2,"Real Bed",TRUE
30.30632,-97.722,"Entire home/apt",191,4,1,97,"strict_14_with_grace_period","t",133,24,1,2,3,"Real Bed",TRUE
30.26526,-97.6846,"Entire home/apt",135,6,2,95,"strict_14_with_grace_period","t",75,18,2.5,3,4,"Airbed",TRUE
30.30676,-97.72635,"Entire home/apt",101,2,3,98,"flexible","t",171,22,1,1,1,"Real Bed",TRUE
30.24617,-97.75256,"Private room",80,2,1,89,"strict_14_with_grace_period","f",139,6,1,1,1,"Real Bed",TRUE
30.2663,-97.7424,"Entire home/apt",490,3,2,96,"strict_14_with_grace_period","f",157,41,1.5,3,4,"Real Bed",TRUE
30.20981,-97.77037,"Entire home/apt",14,1,2,99,"flexible","t",19,4,1,1,1,"Airbed",TRUE
30.18663,-97.7848,"Private room",125,1,3,96.176,"moderate","f",0,0,1,1,1,"Real Bed",FALSE
30.25374,-97.74519,"Private room",195,2,2,100,"moderate","f",2,0,1.5,1,1,"Real Bed",TRUE
30.29,-97.73064,"Private room",175,1,3,96.176,"flexible","f",0,0,1,1,2,"Real Bed",FALSE
30.23589,-97.76997,"Entire home/apt",0,2,1,100,"moderate","f",1,0,1,1,1,"Real Bed",TRUE
30.2636,-97.74204,"Entire home/apt",177,2,1,95,"strict_14_with_grace_period","f",481,66,1,1,2,"Real Bed",TRUE
30.24541,-97.75255,"Private room",89,2,1,88,"strict_14_with_grace_period","f",55,12,1,1,1,"Real Bed",TRUE
30.24658,-97.7628,"Entire home/apt",75,1,3,98,"strict_14_with_grace_period","t",24,0,1,1,2,"Real Bed",TRUE
30.25966,-97.75555,"Entire home/apt",95,2,1,98,"strict_14_with_grace_period","t",256,34,1,1,1,"Futon",TRUE
30.23944,-97.7535,"Private room",95,2,1,93,"strict_14_with_grace_period","f",52,0,1.5,1,2,"Real Bed",TRUE
30.26083,-97.77521,"Entire home/apt",79,1,2,97,"strict_14_with_grace_period","t",187,59,2,1,1,"Real Bed",TRUE
30.27132,-97.74777,"Private room",82,2,2,97,"strict_14_with_grace_period","t",146,26,1,1,1,"Real Bed",TRUE
30.26699,-97.71362,"Entire home/apt",200,3,3,98,"strict_14_with_grace_period","f",11,2,1,2,3,"Real Bed",TRUE
