"","latitude","longitude","room_type","price","guests_included","minimum_nights","review_scores_rating","cancellation_policy","host_is_superhost","number_of_reviews","number_of_reviews_ltm","bathrooms","bedrooms","beds","bed_type","zipcode","has_reviews"
"1599",30.27409,-97.75935,"Entire home/apt",200,1,1,96.17773167,"flexible","f",0,0,1,1,1,"Real Bed","78703",FALSE
"1615",30.28045,-97.76139,"Entire home/apt",155,4,1,95,"strict_14_with_grace_period","t",36,8,1,2,2,"Real Bed","78703",TRUE
"1619",30.29675,-97.7821,"Entire home/apt",195,2,2,100,"moderate","t",56,17,1,2,4,"Real Bed","78703",TRUE
"1624",30.30206,-97.7529,"Entire home/apt",400,6,3,99,"strict_14_with_grace_period","t",41,25,3,5,7,"Real Bed","78703",TRUE
"1639",30.28009,-97.76014,"Entire home/apt",225,4,2,99,"moderate","f",64,8,2,2,2,"Real Bed","78703",TRUE
"1641",30.26811,-97.75296,"Entire home/apt",500,1,1,96.17773167,"flexible","f",0,0,2,2,2,"Real Bed","78703",FALSE
"1700",30.29361,-97.7774,"Entire home/apt",129,2,2,100,"strict_14_with_grace_period","f",17,8,1,0,3,"Real Bed","78703",TRUE
"1715",30.27426,-97.75278,"Entire home/apt",238,1,3,89,"strict_14_with_grace_period","f",8,0,1,1,1,"Real Bed","78703",TRUE
"1731",30.28396,-97.7748,"Entire home/apt",65,1,4,97,"strict_14_with_grace_period","t",56,16,1,1,1,"Pull-out Sofa","78703",TRUE
"1762",30.30019,-97.75618,"Entire home/apt",85,1,2,99,"flexible","t",139,21,1,1,1,"Real Bed","78703",TRUE
"1792",30.2777,-97.75732,"Entire home/apt",253,2,2,100,"strict_14_with_grace_period","f",29,3,1.5,2,4,"Real Bed","78703",TRUE
"1802",30.2919,-97.76199,"Entire home/apt",84,3,1,97,"strict_14_with_grace_period","t",56,56,1,1,2,"Real Bed","78703",TRUE
"1834",30.27533,-97.76242,"Entire home/apt",249,4,2,99,"strict_14_with_grace_period","f",14,2,2.5,2,2,"Real Bed","78703",TRUE
"1880",30.30521,-97.75458,"Entire home/apt",240,1,2,100,"strict_14_with_grace_period","f",2,0,1,2,2,"Real Bed","78703",TRUE
"1881",30.27927,-97.76379,"Entire home/apt",160,4,2,99,"moderate","t",48,14,1,2,2,"Real Bed","78703",TRUE
"1882",30.28378,-97.76059,"Entire home/apt",129,4,2,98,"moderate","t",108,7,1,1,2,"Real Bed","78703",TRUE
"1891",30.27585,-97.75854,"Entire home/apt",190,1,2,100,"flexible","f",2,0,1,1,2,"Real Bed","78703",TRUE
"1914",30.27914,-97.76433,"Entire home/apt",200,1,1,98,"strict_14_with_grace_period","t",139,42,1,2,3,"Real Bed","78703",TRUE
"1942",30.27969,-97.75855,"Entire home/apt",114,2,2,99,"moderate","t",180,39,1,1,1,"Real Bed","78703",TRUE
"1968",30.27762,-97.75776,"Entire home/apt",285,8,1,98,"strict_14_with_grace_period","t",149,41,2,4,7,"Real Bed","78703",TRUE
"1972",30.29815,-97.7572,"Entire home/apt",400,6,4,100,"strict_14_with_grace_period","f",4,0,2.5,3,3,"Real Bed","78703",TRUE
"1977",30.28995,-97.76848,"Entire home/apt",250,1,3,96.17773167,"flexible","f",1,0,1.5,2,2,"Real Bed","78703",FALSE
"2023",30.28998,-97.76735,"Entire home/apt",140,3,2,97,"strict_14_with_grace_period","f",8,0,1,1,2,"Real Bed","78703",TRUE
"2048",30.28455,-97.76007,"Entire home/apt",159,2,6,100,"strict_14_with_grace_period","f",2,0,1,1,3,"Real Bed","78703",TRUE
"2067",30.27454,-97.76459,"Entire home/apt",80,1,1,100,"flexible","f",3,0,1,1,2,"Real Bed","78703",TRUE
"2093",30.2814,-97.75212,"Private room",180,4,1,100,"moderate","f",5,1,2.5,1,1,"Real Bed","78703",TRUE
"2095",30.2815,-97.75344,"Private room",120,1,1,97,"moderate","f",10,1,1,1,2,"Real Bed","78703",TRUE
"2098",30.28656,-97.76538,"Entire home/apt",300,1,1,96.17773167,"flexible","f",0,0,1,2,2,"Real Bed","78703",FALSE
"2109",30.28133,-97.77212,"Entire home/apt",250,1,1,96.17773167,"flexible","f",0,0,1,0,1,"Real Bed","78703",FALSE
"2124",30.28459,-97.76274,"Entire home/apt",75,2,1,93,"strict_14_with_grace_period","f",280,76,1,1,1,"Real Bed","78703",TRUE
"2176",30.28319,-97.76155,"Entire home/apt",125,2,2,99,"flexible","f",14,2,1,1,1,"Real Bed","78703",TRUE
"2198",30.27744,-97.762,"Entire home/apt",300,1,3,60,"flexible","f",1,0,1,2,3,"Real Bed","78703",TRUE
"2210",30.27775,-97.75731,"Entire home/apt",125,1,2,93,"strict_14_with_grace_period","f",159,38,1,0,3,"Real Bed","78703",TRUE
"2226",30.27247,-97.7562,"Entire home/apt",295,2,2,100,"moderate","f",2,0,1,1,1,"Real Bed","78703",TRUE
"2227",30.2722,-97.75758,"Entire home/apt",185,4,1,96,"strict_14_with_grace_period","f",58,3,1,2,3,"Real Bed","78703",TRUE
"2233",30.28061,-97.75261,"Entire home/apt",200,2,2,97,"moderate","f",25,0,1,1,1,"Real Bed","78703",TRUE
"2235",30.27649,-97.76142,"Entire home/apt",107,2,3,96,"strict_14_with_grace_period","t",44,19,1,1,3,"Real Bed","78703",TRUE
"2237",30.27436,-97.75679,"Entire home/apt",145,1,2,95,"strict_14_with_grace_period","t",17,10,1,1,2,"Real Bed","78703",TRUE
"2238",30.27347,-97.75513,"Entire home/apt",115,1,1,98,"strict_14_with_grace_period","t",280,92,1,1,2,"Real Bed","78703",TRUE
"2249",30.27303,-97.75343,"Private room",98,1,1,98,"strict_14_with_grace_period","f",26,0,1,1,1,"Real Bed","78703",TRUE
"2327",30.27995,-97.76568,"Private room",129,1,2,98,"strict_14_with_grace_period","t",12,2,1,1,1,"Real Bed","78703",TRUE
"2329",30.29969,-97.78064,"Entire home/apt",200,1,2,100,"flexible","f",1,0,1.5,2,2,"Real Bed","78703",TRUE
"2367",30.27906,-97.75729,"Entire home/apt",300,1,1,100,"flexible","f",1,0,1,1,1,"Real Bed","78703",TRUE
"2369",30.30618,-97.75249,"Entire home/apt",134,4,2,97,"strict_14_with_grace_period","t",73,10,1,2,2,"Real Bed","78703",TRUE
"2398",30.2676,-97.7543,"Entire home/apt",325,2,3,96.17773167,"flexible","f",0,0,1,1,1,"Real Bed","78703",FALSE
"2412",30.2823,-97.75794,"Entire home/apt",170,4,2,97,"moderate","t",190,54,2,2,2,"Real Bed","78703",TRUE
"2415",30.28141,-97.76399,"Entire home/apt",120,2,2,100,"strict_14_with_grace_period","t",125,37,1,1,1,"Real Bed","78703",TRUE
"2439",30.30207,-97.75441,"Entire home/apt",185,6,2,100,"moderate","f",2,0,1,3,3,"Real Bed","78703",TRUE
"2458",30.27431,-97.75972,"Entire home/apt",139,4,2,92,"strict_14_with_grace_period","f",45,13,1.5,3,3,"Real Bed","78703",TRUE
"2459",30.27577,-97.75897,"Entire home/apt",169,4,2,88,"strict_14_with_grace_period","f",23,7,2,2,3,"Real Bed","78703",TRUE
"2462",30.26843,-97.75518,"Private room",250,1,1,100,"flexible","f",1,0,1,1,1,"Real Bed","78703",TRUE
"2464",30.27944,-97.76601,"Entire home/apt",300,6,3,96.17773167,"flexible","f",0,0,2,2,3,"Real Bed","78703",FALSE
"2471",30.27319,-97.75557,"Entire home/apt",399,8,2,92,"strict_14_with_grace_period","f",93,27,3,4,7,"Real Bed","78703",TRUE
"2473",30.28859,-97.77318,"Private room",100,1,1,80,"flexible","f",1,0,1,1,1,"Futon","78703",TRUE
"2499",30.26989,-97.75302,"Entire home/apt",500,1,3,100,"flexible","f",1,0,2,2,2,"Real Bed","78703",TRUE
"2500",30.28743,-97.77249,"Entire home/apt",350,1,3,100,"strict_14_with_grace_period","f",1,0,2,2,2,"Real Bed","78703",TRUE
"2547",30.27602,-97.76172,"Entire home/apt",91,1,2,96,"moderate","t",100,37,1,1,1,"Real Bed","78703",TRUE
"2565",30.27666,-97.75983,"Entire home/apt",380,1,2,96.17773167,"flexible","f",0,0,1,1,1,"Real Bed","78703",FALSE
"2568",30.30082,-97.75831,"Entire home/apt",340,1,2,98,"moderate","t",99,24,1,3,3,"Real Bed","78703",TRUE
"2576",30.27328,-97.75707,"Entire home/apt",108,4,1,98,"moderate","t",224,55,1,1,1,"Real Bed","78703",TRUE
"2578",30.28206,-97.7599,"Entire home/apt",165,1,3,100,"flexible","f",17,6,2,2,2,"Real Bed","78703",TRUE
"2579",30.28459,-97.76581,"Entire home/apt",280,1,1,100,"flexible","f",1,0,1.5,1,1,"Real Bed","78703",TRUE
"2594",30.28164,-97.75863,"Entire home/apt",120,1,2,100,"moderate","f",4,0,1,0,1,"Real Bed","78703",TRUE
"2612",30.27722,-97.7584,"Entire home/apt",195,1,1,100,"flexible","f",5,0,1,2,2,"Real Bed","78703",TRUE
"2613",30.28737,-97.77172,"Entire home/apt",175,4,1,100,"moderate","f",5,0,2,2,4,"Real Bed","78703",TRUE
"2645",30.26977,-97.75236,"Entire home/apt",500,1,1,96.17773167,"flexible","f",0,0,1,1,2,"Real Bed","78703",FALSE
"2647",30.28335,-97.75813,"Private room",39,1,2,96,"strict_14_with_grace_period","t",216,74,1,1,1,"Futon","78703",TRUE
"2652",30.28657,-97.76187,"Entire home/apt",125,2,2,100,"moderate","t",92,46,1,1,1,"Real Bed","78703",TRUE
"2656",30.28114,-97.76007,"Entire home/apt",60,1,1,96,"moderate","f",10,1,1,2,2,"Real Bed","78703",TRUE
"2662",30.2772,-97.75713,"Entire home/apt",285,1,1,91,"moderate","f",79,10,2,3,4,"Real Bed","78703",TRUE
"2673",30.27463,-97.75582,"Private room",100,1,1,93,"flexible","f",11,0,1,1,1,"Real Bed","78703",TRUE
"2675",30.28288,-97.77073,"Private room",250,1,1,96,"strict_14_with_grace_period","f",14,5,1,1,2,"Real Bed","78703",TRUE
"2765",30.27163,-97.75557,"Entire home/apt",275,1,1,96.17773167,"flexible","f",0,0,1,1,1,"Real Bed","78703",FALSE
"2777",30.27675,-97.75978,"Entire home/apt",229,4,2,98,"strict_14_with_grace_period","t",74,52,1,2,2,"Real Bed","78703",TRUE
"2799",30.28942,-97.76816,"Entire home/apt",125,1,1,96.17773167,"flexible","f",0,0,1,1,1,"Real Bed","78703",FALSE
"2835",30.26738,-97.75425,"Entire home/apt",180,1,2,92,"moderate","f",35,8,1,1,1,"Real Bed","78703",TRUE
"2853",30.27828,-97.76017,"Entire home/apt",99,1,2,97,"strict_14_with_grace_period","t",122,40,1,2,3,"Real Bed","78703",TRUE
"2859",30.27674,-97.75782,"Entire home/apt",15,1,3,80,"moderate","f",1,1,1,1,1,"Real Bed","78703",TRUE
"2896",30.28312,-97.77311,"Entire home/apt",80,2,1,99,"flexible","t",176,121,1,1,2,"Real Bed","78703",TRUE
"2900",30.27553,-97.76222,"Entire home/apt",120,2,3,99,"moderate","t",117,45,1,1,1,"Real Bed","78703",TRUE
"2903",30.28326,-97.77402,"Private room",150,1,3,96.17773167,"flexible","f",0,0,1,1,1,"Pull-out Sofa","78703",FALSE
"2913",30.28434,-97.76006,"Entire home/apt",99,4,2,100,"moderate","f",8,0,1,1,2,"Real Bed","78703",TRUE
"3045",30.26887,-97.75432,"Entire home/apt",243,2,1,96,"strict_14_with_grace_period","t",91,31,2,2,2,"Real Bed","78703",TRUE
"3053",30.27631,-97.75878,"Entire home/apt",250,1,2,100,"moderate","f",6,0,1,1,1,"Real Bed","78703",TRUE
"3056",30.27921,-97.75606,"Private room",150,1,10,100,"flexible","f",2,0,1,1,1,"Real Bed","78703",TRUE
"3062",30.28425,-97.76422,"Entire home/apt",100,1,1,97,"moderate","f",14,2,1,0,2,"Real Bed","78703",TRUE
"3069",30.27599,-97.76012,"Entire home/apt",210,1,3,99,"moderate","t",73,25,1,2,3,"Real Bed","78703",TRUE
"3087",30.28201,-97.75797,"Entire home/apt",260,1,1,100,"moderate","f",3,1,1,1,1,"Real Bed","78703",TRUE
"3094",30.27614,-97.76378,"Entire home/apt",270,1,2,100,"strict_14_with_grace_period","f",1,0,1,1,1,"Real Bed","78703",TRUE
"3103",30.28342,-97.75727,"Entire home/apt",85,3,1,86,"moderate","f",70,18,1,1,3,"Real Bed","78703",TRUE
"3109",30.27714,-97.75549,"Private room",169,2,1,96.17773167,"strict_14_with_grace_period","f",0,0,1,1,1,"Real Bed","78703",FALSE
"3117",30.30118,-97.75227,"Entire home/apt",450,6,2,100,"moderate","t",6,1,2,3,3,"Real Bed","78703",TRUE
"3118",30.29969,-97.75182,"Entire home/apt",140,2,2,96,"strict_14_with_grace_period","t",5,1,1,1,1,"Real Bed","78703",TRUE
"3138",30.28384,-97.76019,"Entire home/apt",500,1,3,94,"moderate","f",8,0,1,0,3,"Real Bed","78703",TRUE
"3139",30.27764,-97.76272,"Private room",110,2,2,98,"strict_14_with_grace_period","f",28,5,1.5,1,1,"Real Bed","78703",TRUE
"3140",30.27263,-97.75564,"Entire home/apt",120,1,1,96,"moderate","t",247,80,1,1,2,"Real Bed","78703",TRUE
"3163",30.28946,-97.7738,"Entire home/apt",395,1,7,96.17773167,"flexible","f",0,0,1,2,2,"Real Bed","78703",FALSE
"3169",30.30106,-97.75068,"Private room",55,2,1,99,"moderate","t",42,18,1,1,1,"Real Bed","78703",TRUE
"3198",30.28124,-97.77001,"Entire home/apt",95,1,3,99,"strict_14_with_grace_period","t",65,24,1,1,1,"Real Bed","78703",TRUE
"3236",30.28481,-97.76099,"Entire home/apt",150,1,2,100,"flexible","f",1,0,1,1,1,"Real Bed","78703",TRUE
"3256",30.28969,-97.76856,"Entire home/apt",120,3,3,95,"strict_14_with_grace_period","f",20,0,1,1,1,"Real Bed","78703",TRUE
"3283",30.28086,-97.7575,"Entire home/apt",139,2,3,100,"moderate","t",73,32,1,1,1,"Real Bed","78703",TRUE
"3290",30.29662,-97.78186,"Entire home/apt",400,6,2,100,"strict_14_with_grace_period","f",5,0,3,4,4,"Real Bed","78703",TRUE
"3316",30.28423,-97.75863,"Entire home/apt",75,2,1,98,"moderate","f",25,0,1,1,1,"Real Bed","78703",TRUE
"3318",30.28323,-97.77585,"Entire home/apt",450,1,3,100,"moderate","f",13,3,2,3,3,"Real Bed","78703",TRUE
"3325",30.27802,-97.77255,"Private room",150,6,2,96.17773167,"flexible","f",0,0,1,1,2,"Real Bed","78703",FALSE
"3355",30.27426,-97.75554,"Entire home/apt",157,2,1,99,"strict_14_with_grace_period","t",248,100,1,1,2,"Real Bed","78703",TRUE
"3367",30.28049,-97.75123,"Shared room",33,1,1,97,"flexible","t",12,0,1,1,1,"Real Bed","78703",TRUE
"3369",30.28486,-97.77559,"Entire home/apt",47,1,4,95,"strict_14_with_grace_period","t",37,19,1,1,1,"Real Bed","78703",TRUE
"3376",30.28331,-97.75887,"Entire home/apt",189,6,1,99,"moderate","t",168,54,2,2,7,"Real Bed","78703",TRUE
"3401",30.28143,-97.75142,"Entire home/apt",90,1,1,98,"moderate","t",81,13,1,1,2,"Real Bed","78703",TRUE
"3438",30.27257,-97.75577,"Entire home/apt",110,2,1,98,"strict_14_with_grace_period","t",203,80,1,1,1,"Real Bed","78703",TRUE
"3440",30.27466,-97.75657,"Entire home/apt",115,4,1,98,"moderate","t",149,47,1,2,3,"Real Bed","78703",TRUE
"3443",30.27,-97.75187,"Entire home/apt",280,1,3,96.17773167,"flexible","f",0,0,2,2,3,"Real Bed","78703",FALSE
"3468",30.2816,-97.75655,"Entire home/apt",200,1,1,100,"flexible","f",3,0,1,1,1,"Real Bed","78703",TRUE
